Year,Main mode,Commuting,Business,Education or escort education,Shopping,Other escort,Personal business,Leisure [note 2],Other including just walk,All purposes,Unweighted sample size: trips (thousands)
2002,"Walk [notes 3, 4]",16.3491715443974,2.86575999177347,44.1153804616766,59.2495693059547,13.3192394912566,34.7404325181313,52.4246692085697,40.9483943038349,264.012616825594,66.356
2002,Pedal cycle [note 5],6.54728734165956,0.612594643238266,1.83358655342363,2.36376263717573,0.364849350991745,1.308122877907,4.99921388238818,0.0,18.0294172867841,4.542
2002,Car or van driver,95.8325228042659,26.2267077387932,23.895373611658,90.1224229087793,57.4912433203952,47.1318003252965,97.3936612824846,0.320400419805065,438.414132411478,116.736
2002,Car or van passenger,16.9856545734875,2.40015890744602,25.7596206852604,46.0196176130998,30.7387018966679,24.5808718431431,93.4071710840586,0.0434874621023945,239.935284065266,63.814
2002,Motorcycle,2.00532123747241,0.0411549997062924,0.0519219437928483,0.471992200186726,0.114124616129399,0.297172875392986,0.8640335821526,0.00628912924038496,3.85201058407365,0.977
2002,Other private transport [note 6],0.867356741717947,0.314872435198734,3.29026483755804,0.496272991672528,0.122708894101417,1.04152342172496,2.10710608589085,0.0,8.24010540786448,2.244
2002,Bus in London,3.97107201266113,0.408255090618649,2.03081970852831,4.82381103789175,0.617118666876386,1.7077608499253,3.71732817063243,0.0,17.276165537134,3.684
2002,Other local bus,8.83487494536007,0.287473338353879,8.12252750408816,14.4175746612148,1.57384274320221,4.17481183729328,8.80376950153508,0.00665484836311693,46.2215293794106,11.943
2002,Non-local bus,0.141984082176998,0.0214498639000784,0.0485551453636341,0.0165571568529981,0.00345547847966373,0.0159546891901903,0.529500970245039,0.0,0.777457386208602,0.203
2002,London Underground,5.00026406390483,0.722960350139345,1.18413972415431,0.754996668941699,0.121239360135478,0.552245520187046,2.4055563458934,0.0,10.7414020333561,2.196
2002,Surface Rail,6.42855105043158,1.11731175878166,0.921213869201048,0.97592793425307,0.191713700762048,0.692597280573199,3.13050963132837,0.0,13.457825225331,3.243
2002,Taxi or minicab,0.925889755375911,0.410877086763863,0.390398043516228,1.79808291178446,0.595256907031037,1.1549498845089,6.32229834450389,0.0,11.5977529334843,3.0
2002,Other public transport [note 7],0.483383908846636,0.116663611022711,0.0369259549297535,0.366585448582344,0.0602721429799348,0.188222534520249,0.61605207473952,0.0,1.86810567562115,0.469
2002,All modes,164.373334061758,35.5462398157361,111.680728043151,221.87717347639,105.313766569009,117.586466457794,276.720870164422,41.3252261633458,1074.42380475161,279.407
2003,"Walk [notes 3, 4]",16.4330350483138,3.45097848882035,54.6657030706602,57.2185190959714,10.6939088032664,31.2202192320319,54.4899276504585,40.8567249273375,269.02901631686,77.969
2003,Pedal cycle [note 5],6.07793118774947,0.476581623741163,1.48193379955622,1.92579314105031,0.124859826902802,1.09486076657901,5.2202178099242,0.0,16.4021781555032,4.885
2003,Car or van driver,97.1892428914009,24.3897936956581,23.8287519958357,88.7508406094039,53.5341077280625,43.8213055207576,94.8879961765492,0.298735303060082,426.700773920728,129.003
2003,Car or van passenger,16.56332516774,2.46609114593344,25.7220038734047,44.4392915607341,28.9851734329963,23.8855565447071,90.6278466644431,0.0215142157396625,232.710802605698,72.891
2003,Motorcycle,2.51123524922959,0.0622770340174107,0.103618586917905,0.332063554346481,0.0200348756600692,0.217535174870814,0.804278632600737,0.0,4.051043107643,1.14
2003,Other private transport [note 6],0.845988541869755,0.234239573243791,3.48031667189307,0.372955604967235,0.166318459218342,0.759037779756844,1.87571845341802,0.0,7.73457508436705,2.454
2003,Bus in London,3.30930249457406,0.343171170209784,2.86128006517664,4.17751297170935,0.483780804007326,1.86851080197462,3.84785251013593,0.0,16.8914108177877,4.73
2003,Other local bus,9.44241021622478,0.52338118812052,8.85219818432627,13.5354315521208,1.53524786136601,4.36683681641855,8.73249148980014,0.0,46.9879973083771,13.842
2003,Non-local bus,0.0261616880373554,0.011174467376879,0.0,0.0599962761314687,0.00954165524200726,0.0160584024776786,0.87227186531134,0.0,0.995204354576729,0.311
2003,London Underground,4.25044254481951,0.839783417624669,0.713959559034319,0.666414310333584,0.0977102519831538,0.652209855155085,1.89620847337412,0.0,9.11672841232444,2.203
2003,Surface Rail,6.95313462934038,1.1871830591019,0.956423737881128,0.941629736172921,0.119798383808474,0.642919222793882,3.53092237003243,0.0,14.3320111391311,4.025
2003,Taxi or minicab,1.29190812698825,0.310274822386767,0.864787049230445,1.85953451075785,0.325603872312451,1.13807090368619,5.92087365235326,0.0,11.7110529377152,3.391
2003,Other public transport [note 7],1.18716302420947,0.150728860068407,0.211183722084387,0.564783040075865,0.0857489777290073,0.187342829659346,0.608721682948955,0.0,2.99567213677544,0.803
2003,All modes,166.081280810497,34.4456585463032,123.742160316001,214.844765963775,96.1818349325549,109.870463850869,273.31532743135,41.1769744461372,1059.65846629749,317.647
2004,"Walk [notes 3, 4]",21.8642166590254,3.04955024854026,51.6635967700546,58.967901938937,10.7862133329753,32.6582437097361,53.8424398464363,40.2795019637715,273.111664469476,78.57
2004,Pedal cycle [note 5],6.40182336543806,0.526307941727857,1.28817772864526,1.98649259917657,0.142968134832633,1.17292533561634,5.62686137081773,0.0,17.1455564762544,5.062
2004,Car or van driver,95.1285311316806,25.15113667869,24.5283626653076,85.2727349597859,52.6991295655907,42.4517896583556,95.5376514701682,0.439719086854926,421.209055216434,126.418
2004,Car or van passenger,16.1890313778976,2.37885801810133,26.0817580018587,43.6327093996803,26.79007260564,23.7319933345152,88.7972414987147,0.0442231633728747,227.645887399781,71.234
